Data/Hora,Download (Mbps),Upload (Mbps),Ping (ms)
2025-06-14 07:54:27,175.96,58.0,38.872
2025-06-14 08:09:34,180.56,60.25,23.098
2025-06-14 08:18:26,186.68,60.27,14.225
2025-06-14 08:27:24,188.86,60.76,14.535
2025-06-14 08:36:24,192.34,60.83,14.304
2025-06-14 08:45:24,187.19,60.28,14.582
2025-06-14 08:54:24,185.1,58.86,39.23
2025-06-14 09:09:24,183.48,60.12,30.846
2025-06-14 09:18:23,185.93,60.66,31.705
2025-06-14 09:27:24,182.65,58.19,38.828
2025-06-14 09:36:24,183.74,58.08,31.871
2025-06-14 09:45:24,130.36,55.49,30.783
2025-06-14 09:54:24,177.4,60.23,42.928
2025-06-14 10:09:23,183.34,60.25,31.347
2025-06-14 10:18:24,183.33,61.1,33.258
2025-06-14 10:27:23,148.49,59.54,30.663
2025-06-14 10:36:24,182.86,56.95,38.999
2025-06-14 10:45:25,183.61,59.32,35.577
2025-06-14 10:54:23,184.57,55.5,31.66
2025-06-14 11:09:24,185.93,58.79,31.239
2025-06-14 11:18:24,184.15,58.52,29.907
2025-06-14 11:27:24,188.05,60.75,30.69
2025-06-14 11:36:23,186.39,54.59,30.628
2025-06-14 11:45:24,164.64,59.01,31.551
2025-06-14 11:54:23,186.83,58.9,31.666
2025-06-14 12:09:23,174.03,56.48,28.171
2025-06-14 12:18:23,183.02,57.95,26.279
2025-06-14 12:27:23,186.22,59.19,22.131
2025-06-14 12:36:23,186.81,60.64,20.586
2025-06-14 12:45:23,183.84,59.57,22.477
2025-06-14 12:54:22,184.7,59.04,22.126
2025-06-14 13:09:23,175.59,58.93,22.05
2025-06-14 13:18:23,179.56,59.81,25.792
2025-06-14 13:27:23,183.72,60.1,11.262
2025-06-14 13:36:23,183.14,60.73,22.573
2025-06-14 13:45:24,182.38,57.23,21.686
2025-06-14 13:54:23,182.64,59.74,4.963
2025-06-14 14:09:24,184.17,59.13,10.47
2025-06-14 14:18:23,180.66,59.2,24.371
2025-06-14 14:27:22,180.79,56.64,21.912
2025-06-14 14:36:23,182.06,56.91,10.706
2025-06-14 14:45:23,183.54,57.18,24.798
2025-06-14 14:54:23,184.68,60.52,22.025
2025-06-14 15:09:25,185.9,59.38,10.878
2025-06-14 15:18:23,188.13,57.86,12.163
2025-06-14 15:27:23,186.98,58.41,12.443
2025-06-14 15:36:23,188.07,59.48,12.03
2025-06-14 15:45:23,188.69,59.95,11.51
2025-06-14 15:54:23,186.0,59.96,12.076
2025-06-14 16:09:23,188.75,58.55,15.018
2025-06-14 16:18:23,186.78,59.38,11.611
2025-06-14 16:27:23,181.01,60.09,11.67
2025-06-14 16:36:23,182.79,59.42,21.483
2025-06-14 16:45:23,184.81,59.06,11.447
2025-06-14 16:54:23,182.93,56.04,22.149
2025-06-14 17:09:23,173.27,57.64,11.639
2025-06-14 17:18:23,181.31,60.03,11.651
2025-06-14 17:27:23,182.06,60.25,12.117
2025-06-14 17:36:22,182.05,60.1,11.926
2025-06-14 17:45:24,170.82,54.9,12.16
2025-06-14 17:54:24,189.72,58.65,14.661
2025-06-14 18:09:23,186.64,60.67,22.785
2025-06-14 18:18:24,172.7,59.56,4.583
2025-06-14 18:27:23,172.57,59.72,5.24
2025-06-14 18:36:24,171.23,60.41,4.628
2025-06-14 18:45:24,190.36,60.19,4.41
2025-06-14 18:54:24,180.3,59.77,4.477
2025-06-14 19:09:24,188.63,59.98,4.575
2025-06-14 19:18:24,189.27,53.42,4.901
2025-06-14 19:27:24,188.51,60.42,4.317
2025-06-14 19:36:24,189.94,60.26,4.731
2025-06-14 19:45:23,189.27,59.76,4.943
2025-06-14 19:54:24,183.22,60.77,4.645
2025-06-14 20:09:23,186.87,58.99,14.989
2025-06-14 20:18:24,186.48,60.3,15.143
2025-06-14 20:27:24,188.08,59.39,4.174
2025-06-14 20:36:24,183.25,60.68,4.395
2025-06-14 20:45:24,186.84,59.86,5.225
2025-06-14 20:54:24,184.17,59.05,4.644
2025-06-14 21:09:25,182.52,58.22,15.454
2025-06-14 21:18:24,184.49,60.17,4.593
2025-06-14 21:27:24,183.98,60.9,15.452
2025-06-14 21:36:53,186.19,60.23,4.737
2025-06-14 21:45:25,184.61,59.92,13.415
2025-06-14 21:54:24,188.66,60.09,5.171
2025-06-14 22:09:25,189.95,59.88,4.977
